date,mins,tasklabel,tasktype,week_idx,month_idx,year_idx,year
2021-09-09,80,Reading groups,Community,1,1,1,2021
2021-09-09,32,PhD admin,Admin,1,1,1,2021
2021-09-09,118,PhD admin,Admin,1,1,1,2021
2021-09-10,24,PhD admin,Admin,1,1,1,2021
2021-09-13,105,PhD admin,Admin,2,1,1,2021
2021-09-13,60,PhD admin,Admin,2,1,1,2021
2021-09-13,270,PhD admin,Admin,2,1,1,2021
2021-09-14,39,PhD admin,Admin,2,1,1,2021
2021-09-14,50,PhD admin,Admin,2,1,1,2021
2021-09-14,80,PhD admin,Admin,2,1,1,2021
2021-09-14,25,PhD admin,Admin,2,1,1,2021
2021-09-17,83,Required courses,Coursework,2,1,1,2021
2021-09-18,65,Required courses,Coursework,2,1,1,2021
2021-09-18,5,PhD admin,Admin,2,1,1,2021
2021-09-20,84,Reading,Research,3,1,1,2021
2021-09-20,86,Reading,Research,3,1,1,2021
2021-09-20,145,Required courses,Coursework,3,1,1,2021
2021-09-20,9,PhD admin,Admin,3,1,1,2021
2021-09-20,81,PhD admin,Admin,3,1,1,2021
2021-09-21,55,Reading,Research,3,1,1,2021
2021-09-21,200,Reading,Research,3,1,1,2021
2021-09-22,50,Reading groups,Community,3,1,1,2021
2021-09-22,30,Reading,Research,3,1,1,2021
2021-09-23,27,Reading groups,Community,3,1,1,2021
2021-09-23,84,Reading,Research,3,1,1,2021
2021-09-24,35,Reading,Research,3,1,1,2021
2021-09-27,50,Required courses,Coursework,4,1,1,2021
2021-09-27,91,Required courses,Coursework,4,1,1,2021
2021-09-27,22,Supervision,Research,4,1,1,2021
2021-09-27,100,Supervision,Research,4,1,1,2021
2021-09-28,70,CLE talks,Community,4,1,1,2021
2021-09-28,40,Reading,Research,4,1,1,2021
2021-09-29,53,Reading groups,Community,4,1,1,2021
2021-09-29,29,Reading groups,Community,4,1,1,2021
2021-09-29,28,Reading,Research,4,1,1,2021
2021-09-29,101,Reading,Research,4,1,1,2021
2021-09-29,25,Reading,Research,4,1,1,2021
2021-09-29,147,Reading,Research,4,1,1,2021
2021-09-30,109,Reading,Research,4,1,1,2021
2021-09-30,111,Reading,Research,4,1,1,2021
2021-09-30,208,Reading,Research,4,1,1,2021
2021-09-30,10,Reading,Research,4,1,1,2021
2021-10-01,65,Talks/conferences,Community,4,2,1,2021
2021-10-01,5,Reading,Research,4,2,1,2021
2021-10-01,35,Reading,Research,4,2,1,2021
2021-10-01,63,Reading,Research,4,2,1,2021
2021-10-01,122,Reading,Research,4,2,1,2021
2021-10-02,193,Required courses,Coursework,4,2,1,2021
2021-10-02,78,Required courses,Coursework,4,2,1,2021
2021-10-04,240,Talks/conferences,Community,5,2,1,2021
2021-10-04,120,Talks/conferences,Community,5,2,1,2021
2021-10-05,95,Talks/conferences,Community,5,2,1,2021
2021-10-05,180,Talks/conferences,Community,5,2,1,2021
2021-10-06,90,Talks/conferences,Community,5,2,1,2021
2021-10-06,150,Talks/conferences,Community,5,2,1,2021
2021-10-06,17,Talks/conferences,Community,5,2,1,2021
2021-10-06,103,Required courses,Coursework,5,2,1,2021
2021-10-07,80,Talks/conferences,Community,5,2,1,2021
2021-10-07,150,Required courses,Coursework,5,2,1,2021
2021-10-07,90,Required courses,Coursework,5,2,1,2021
2021-10-07,188,Supervision,Research,5,2,1,2021
2021-10-08,91,Organising talks/conferences,Community,5,2,1,2021
2021-10-08,65,Talks/conferences,Community,5,2,1,2021
2021-10-08,236,Required courses,Coursework,5,2,1,2021
2021-10-08,10,Required courses,Coursework,5,2,1,2021
2021-10-08,73,Required courses,Coursework,5,2,1,2021
